name,language,stars,forks,creation_date,last_commit_date,repo_url
uptime-kuma,JavaScript,60933,5443,2021-07-03T01:02:42Z,2024-12-03T19:34:05Z,https://github.com/louislam/uptime-kuma
sherlock,Python,60873,7001,2018-12-24T14:30:48Z,2024-11-13T21:56:34Z,https://github.com/sherlock-project/sherlock
echarts,TypeScript,60851,19629,2013-04-03T03:18:59Z,2024-12-06T14:05:50Z,https://github.com/apache/echarts
obs-studio,C,60758,8030,2013-10-01T02:40:31Z,2024-12-06T23:45:21Z,https://github.com/obsproject/obs-studio
openai-cookbook,MDX,60511,9627,2022-03-11T02:08:53Z,2024-12-06T06:03:23Z,https://github.com/openai/openai-cookbook
awesome-cpp,,60460,7851,2014-07-17T08:51:11Z,2024-12-04T02:39:37Z,https://github.com/fffaraz/awesome-cpp
scikit-learn,Python,60379,25448,2010-08-17T09:43:38Z,2024-12-07T15:20:04Z,https://github.com/scikit-learn/scikit-learn
atom,JavaScript,60273,17401,2012-01-20T18:18:21Z,2023-01-03T10:49:48Z,https://github.com/atom/atom
Java,Java,60241,19489,2016-07-16T10:21:02Z,2024-12-03T23:40:06Z,https://github.com/TheAlgorithms/Java
lodash,JavaScript,59942,8098,2012-04-07T04:11:46Z,2024-10-06T17:19:52Z,https://github.com/lodash/lodash
tabby,TypeScript,59935,3412,2016-12-23T09:06:10Z,2024-11-07T15:58:06Z,https://github.com/Eugeny/tabby
architect-awesome,,59882,17835,2018-04-06T13:30:58Z,2024-04-11T11:32:12Z,https://github.com/xingshaocheng/architect-awesome
Apollo-11,Assembly,59815,7069,2014-04-03T15:45:02Z,2024-07-11T18:37:04Z,https://github.com/chrislgarry/Apollo-11
Front-end-Developer-Interview-Questions,Nunjucks,59744,11062,2012-02-09T23:34:10Z,2024-11-01T03:04:22Z,https://github.com/h5bp/Front-end-Developer-Interview-Questions
markdown-here,JavaScript,59683,11257,2012-05-13T03:27:22Z,2024-11-25T02:13:45Z,https://github.com/adam-p/markdown-here
awesome-scalability,,59350,6080,2017-12-27T03:46:40Z,2024-12-07T12:47:42Z,https://github.com/binhnguyennus/awesome-scalability
ComfyUI,Python,59334,6301,2023-01-17T03:15:56Z,2024-12-07T19:51:53Z,https://github.com/comfyanonymous/ComfyUI
jquery,JavaScript,59276,20582,2009-04-03T15:20:14Z,2024-12-02T23:03:45Z,https://github.com/jquery/jquery
design-resources-for-developers,,59175,11557,2020-05-06T14:40:35Z,2024-12-05T12:04:41Z,https://github.com/bradtraversy/design-resources-for-developers
SecLists,PHP,59077,23973,2012-02-19T01:30:18Z,2024-12-07T19:03:26Z,https://github.com/danielmiessler/SecLists
caddy,Go,58851,4062,2015-01-13T19:45:03Z,2024-12-07T11:30:20Z,https://github.com/caddyserver/caddy
awesome-nodejs,,58808,5848,2014-07-11T13:35:34Z,2024-11-21T09:26:14Z,https://github.com/sindresorhus/awesome-nodejs
angular.js,JavaScript,58790,27476,2010-01-06T00:34:37Z,2024-04-12T17:43:16Z,https://github.com/angular/angular.js
AppFlowy,Dart,58551,3873,2021-06-16T12:56:48Z,2024-12-07T04:49:43Z,https://github.com/AppFlowy-IO/AppFlowy
cs-self-learning,HTML,58541,6923,2021-10-20T13:43:42Z,2024-12-05T04:55:12Z,https://github.com/PKUFlyingPig/cs-self-learning
shadowsocks-windows,C#,58506,16396,2013-01-14T07:54:16Z,2024-08-20T09:02:57Z,https://github.com/shadowsocks/shadowsocks-windows
fuel-core,Rust,57959,2787,2020-08-27T21:12:14Z,2024-12-08T00:22:11Z,https://github.com/FuelLabs/fuel-core
awesome-courses,,57863,8168,2014-11-15T18:36:49Z,2023-05-04T12:49:34Z,https://github.com/prakhar1989/awesome-courses
open-interpreter,Python,57304,4921,2023-07-14T07:10:44Z,2024-12-06T00:58:36Z,https://github.com/OpenInterpreter/open-interpreter
docusaurus,TypeScript,57061,8596,2017-06-20T16:13:53Z,2024-12-06T18:00:17Z,https://github.com/facebook/docusaurus
annotated_deep_learning_paper_implementations,Python,56957,5836,2020-08-25T02:29:34Z,2024-08-24T09:18:59Z,https://github.com/labmlai/annotated_deep_learning_paper_implementations
spring-framework,Java,56850,38198,2010-12-08T04:04:45Z,2024-12-07T15:57:16Z,https://github.com/spring-projects/spring-framework
alacritty,Rust,56774,3035,2016-02-18T05:02:30Z,2024-11-28T15:41:23Z,https://github.com/alacritty/alacritty
localstack,Python,56695,4036,2016-10-25T23:48:03Z,2024-12-07T15:30:46Z,https://github.com/localstack/localstack
llama,Python,56694,9602,2023-02-14T09:29:12Z,2024-08-18T07:07:28Z,https://github.com/meta-llama/llama
html5-boilerplate,JavaScript,56619,12270,2010-01-24T18:03:24Z,2024-12-01T07:59:20Z,https://github.com/h5bp/html5-boilerplate
rails,Ruby,56187,21711,2008-04-11T02:19:47Z,2024-12-07T15:46:15Z,https://github.com/rails/rails
prometheus,Go,56167,9212,2012-11-24T11:14:12Z,2024-12-06T22:55:21Z,https://github.com/prometheus/prometheus
new-pac,,56107,9508,2016-03-23T08:43:36Z,2024-12-07T01:04:06Z,https://github.com/Alvin9999/new-pac
